Date,AAPL,ADBE,APTV,EPAM,FRT,MELI,MO,NEM,SWK,TTD
2019-03-01,43.74250031,264.0100098,84.26999664,163.5500031,132.4600067,451.6400146,52.75,33.81999969,132.6300049,19.51199913
2019-03-04,43.96250153,258.1600037,83.94999695,162.5,133.0700073,463.7999878,52.45999908,34.45000076,134.9499969,18.93799973
2019-03-05,43.88249969,257.3800049,83.98999786,161.6799927,134.3000031,467.769989,52.88000107,34.5,134.1600037,19.12299919
2019-03-06,43.63000107,256.3999939,82.45999908,160.6900024,132.7700043,461.5299988,54.66999817,33.13999939,133.6199951,18.63500023
2019-03-07,43.125,255.4600067,82.13999939,159.4199982,132.3600006,451.1499939,54.74000168,33.22000122,131.2400055,18.87999916
2019-03-08,43.22750092,254.7400055,81.79000092,161.0800018,131.8300018,449.5899963,55.36999893,33.70999908,129.2599945,19.43499947
2019-03-11,44.72499847,260.9599915,82.58000183,163.5700073,132.8999939,481.1099854,56.00999832,33.45000076,132.5500031,20.43799973
2019-03-12,45.22750092,263.5100098,82.47000122,165.5500031,134,483.480011,55.75,34.52000046,132.6000061,20.78000069
2019-03-13,45.42750168,264.3800049,82.34999847,166.4799957,133.8600006,507.9299927,56.13000107,34.40999985,133.5700073,20.5189991
2019-03-14,45.93249893,267.6900024,81.09999847,168,133.4799957,493.7900085,56.40000153,33.41999817,131.9799957,20.82299995
2019-03-15,46.52999878,257.0899963,81.95999908,169.4700012,132.6799927,488.730011,56.75,33.13999939,131.5099945,20.70000076
2019-03-18,47.00500107,257.7600098,81,169.0500031,132.3899994,484.9700012,57.29999924,33,134.1900024,20.375
2019-03-19,46.63249969,260.4200134,82.80999756,169.8200073,131.2799988,482.3599854,56.00999832,33.27999878,133.3200073,20.56699944
2019-03-20,47.04000092,259.7399902,80.43000031,168.3600006,131.6999969,497.9500122,55.72000122,33.86999893,131.8500061,20.59600067
2019-03-21,48.77249908,264.1799927,80.90000153,173.1300049,134.0599976,504.480011,56.93000031,34.33000183,134.6000061,21.35700035
2019-03-22,47.76250076,259.6900024,77.61000061,164.2599945,134.5200043,497.3699951,55.91999817,34.5,130.8999939,20.29100037
