,y
2021-09-28,568.55
2021-09-29,570.25
2021-09-30,570.48
2021-10-01,575.44
2021-10-04,564.07
2021-10-05,577.65
2021-10-06,582.17
2021-10-07,594.89
2021-10-08,586.72
2021-10-11,576.49
2021-10-12,582.56
2021-10-13,596.57
2021-10-14,610.84
2021-10-15,618.99
2021-10-18,632.79
2021-10-19,634.16
2021-10-20,627.9
2021-10-21,642.67
2021-10-22,648.41
2021-10-25,652.26
2021-10-26,653.49
2021-10-27,652.36
2021-10-28,670.53
2021-10-29,673.24
2021-11-01,659.65
2021-11-02,674.33
2021-11-03,679.95
2021-11-04,716.26
2021-11-05,705.06
2021-11-08,717.49
2021-11-09,717.08
2021-11-10,674.65
2021-11-11,668.15
2021-11-12,671.36
2021-11-15,660.68
2021-11-16,671.01
2021-11-17,665.73
2021-11-18,663.94
2021-11-19,663.84
2021-11-22,614.16
2021-11-23,602.94
2021-11-24,620.27
2021-11-26,609.0
2021-11-29,634.17
2021-11-30,608.55
2021-12-01,595.01
2021-12-02,619.84
2021-12-03,596.69
2021-12-06,572.8
2021-12-07,595.0
2021-12-08,700.14
2021-12-09,700.01
2021-12-10,697.12
2021-12-13,685.0
2021-12-14,663.13
2021-12-15,649.02
2021-12-16,635.73
2021-12-17,636.33
2021-12-20,623.03
2021-12-21,648.99
2021-12-22,660.52
2021-12-23,663.08
2021-12-27,697.0
2021-12-28,682.2
2021-12-29,677.84
2021-12-30,673.14
2021-12-31,668.45
2022-01-03,642.2
2022-01-04,618.71
2022-01-05,587.8
2022-01-06,579.05
2022-01-07,556.68
2022-01-10,545.85
2022-01-11,559.4
2022-01-12,571.11
2022-01-13,540.62
2022-01-14,543.06
2022-01-18,505.95
2022-01-19,493.98
2022-01-20,486.07
2022-01-21,464.71
2022-01-29,569.7347051216032
2022-01-30,570.5220626374104
2022-01-31,573.63590264952
2022-02-01,574.59406132634
2022-02-02,575.4267525980414
2022-02-03,576.3576874838765
2022-02-04,576.9947630209635
2022-02-05,574.5264110080732
2022-02-06,575.1102260386142
2022-02-07,578.048300381645
2022-02-08,578.8606663203442
2022-02-09,579.5784304514146
2022-02-10,580.4248684930388
2022-02-11,581.0061330576432
2022-02-12,578.5076640942575
2022-02-13,579.0829196422198
2022-02-14,582.0288513548194
2022-02-15,582.8595211297672
2022-02-16,583.5994380350794
2022-02-17,584.4648778826579
2022-02-18,585.0548310180184
