,y
2020-12-09,59.98
2020-12-10,59.18
2020-12-11,58.87
2020-12-14,57.56
2020-12-15,59.04
2020-12-16,60.24
2020-12-17,61.64
2020-12-18,60.5
2020-12-21,60.72
2020-12-22,59.41
2020-12-23,59.78
2020-12-24,60.48
2020-12-28,59.82
2020-12-29,59.73
2020-12-30,60.39
2020-12-31,59.89
2021-01-04,63.15
2021-01-05,63.43
2021-01-06,65.24
2021-01-07,65.14
2021-01-08,62.79
2021-01-11,61.95
2021-01-12,62.49
2021-01-13,62.07
2021-01-14,63.33
2021-01-15,61.86
2021-01-19,61.85
2021-01-20,63.52
2021-01-21,62.31
2021-01-22,61.75
2021-01-25,61.64
2021-01-26,61.48
2021-01-27,58.89
2021-01-28,59.73
2021-01-29,59.6
2021-02-01,59.88
2021-02-02,59.63
2021-02-03,58.91
2021-02-04,57.66
2021-02-05,59.3
2021-02-08,60.42
2021-02-09,60.01
2021-02-10,59.7
2021-02-11,58.38
2021-02-12,58.94
2021-02-16,57.8
2021-02-17,56.99
2021-02-18,57.36
2021-02-19,56.67
2021-02-22,57.49
2021-02-23,56.84
2021-02-24,57.08
2021-02-25,56.12
2021-02-26,54.38
2021-03-01,54.65
2021-03-02,56.8
2021-03-03,55.33
2021-03-04,55.42
2021-03-05,56.74
2021-03-08,56.39
2021-03-09,57.25
2021-03-10,58.18
2021-03-11,58.45
2021-03-12,58.99
2021-03-15,61.42
2021-03-16,61.82
2021-03-17,62.97
2021-03-18,62.26
2021-03-19,61.93
2021-03-22,60.89
2021-03-23,60.12
2021-03-24,60.37
2021-03-25,59.88
2021-03-26,61.5
2021-03-29,62.16
2021-03-30,59.88
2021-03-31,60.27
2021-04-01,61.81
2021-04-05,62.49
2021-04-06,62.8
2021-04-07,62.01
2021-04-08,61.8
2021-04-09,61.51
2021-04-12,60.61
2021-04-13,62.25
2021-04-14,61.85
2021-04-15,64.78
2021-04-16,65.41
2021-04-19,64.85
2021-04-20,65.84
2021-04-21,66.82
2021-04-22,65.7
2021-04-23,65.72
2021-04-26,65.28
2021-04-27,64.21
2021-04-28,64.2
2021-04-29,62.31
2021-04-30,62.41
2021-05-03,64.46
2021-05-04,64.02
2021-05-05,64.84
2021-05-06,66.89
2021-05-07,67.33
2021-05-10,68.35
2021-05-11,68.78
2021-05-12,67.86
2021-05-13,68.92
2021-05-14,70.75
2021-05-17,74.0
2021-05-18,74.38
2021-05-19,73.66
2021-05-20,73.85
2021-05-21,73.53
2021-05-24,74.08
2021-05-25,73.2
2021-05-26,73.19
2021-05-27,73.09
2021-05-28,73.48
2021-06-01,73.95
2021-06-02,72.7
2021-06-03,71.06
2021-06-04,71.45
2021-06-07,71.51
2021-06-08,69.93
2021-06-09,69.99
2021-06-10,71.06
2021-06-11,70.31
2021-06-14,69.83
2021-06-15,69.08
2021-06-16,68.45
2021-06-17,63.67
2021-06-18,62.62
2021-06-21,63.43
2021-06-22,62.92
2021-06-23,62.66
2021-06-24,62.3
2021-06-25,62.68
2021-06-28,62.65
2021-06-29,62.58
2021-06-30,63.38
2021-07-01,62.86
2021-07-02,63.36
2021-07-06,63.89
2021-07-07,63.63
2021-07-08,62.76
2021-07-09,63.98
2021-07-12,63.19
2021-07-13,63.37
2021-07-14,63.36
2021-07-15,63.49
2021-07-16,61.73
2021-07-19,60.69
2021-07-20,60.44
2021-07-21,60.36
2021-07-22,60.21
2021-07-23,60.11
2021-07-26,60.39
2021-07-27,61.32
2021-07-28,61.88
2021-07-29,62.72
2021-07-30,62.82
2021-08-02,61.98
2021-08-03,62.65
2021-08-04,61.86
2021-08-05,61.25
2021-08-06,59.82
2021-08-09,58.84
2021-08-10,58.05
2021-08-11,59.26
2021-08-12,58.35
2021-08-13,58.84
2021-08-16,58.88
2021-08-17,58.86
2021-08-18,56.91
2021-08-19,56.52
2021-08-20,56.35
2021-08-23,57.78
2021-08-24,57.48
2021-08-25,56.91
2021-08-26,56.63
2021-08-27,58.19
2021-08-30,57.51
2021-08-31,57.99
2021-09-01,57.88
2021-09-02,58.71
2021-09-03,59.67
2021-09-07,58.28
2021-09-08,57.56
2021-09-09,57.31
2021-09-10,56.99
2021-09-13,57.04
2021-09-14,57.2
2021-09-15,57.71
2021-09-16,55.43
2021-09-17,55.22
2021-09-20,54.01
2021-09-21,54.51
2021-09-22,54.65
2021-09-23,54.05
2021-09-24,53.87
2021-09-27,53.9
2021-09-28,54.58
2021-09-29,53.71
2021-09-30,54.3
2021-10-01,53.56
2021-10-04,54.67
2021-10-05,53.83
2021-10-06,54.53
2021-10-07,54.61
2021-10-08,54.31
2021-10-11,54.2
2021-10-12,54.78
2021-10-13,56.37
2021-10-14,57.77
2021-10-15,57.03
2021-10-18,56.38
2021-10-19,56.99
2021-10-20,57.16
2021-10-21,57.18
2021-10-22,57.61
2021-10-25,57.91
2021-10-26,57.7
2021-10-27,57.54
2021-10-28,54.92
2021-10-29,54.0
2021-11-01,54.3
2021-11-02,54.71
2021-11-03,55.12
2021-11-04,54.85
2021-11-05,56.36
2021-11-08,56.19
2021-11-09,56.75
2021-11-10,58.17
2021-11-11,58.85
2021-11-12,58.73
2021-11-15,58.97
2021-11-16,58.14
2021-11-17,57.95
2021-11-18,57.17
2021-11-19,56.55
2021-11-22,55.81
2021-11-23,55.49
2021-11-24,55.47
2021-11-26,55.94
2021-11-29,55.4
2021-11-30,54.92
2021-12-01,53.87
2021-12-02,53.27
2021-12-03,54.67
2021-12-06,55.83
2021-12-07,56.39
2021-12-08,56.36
2021-12-09,56.21
2021-12-10,56.1
2021-12-13,57.17
2021-12-14,56.17
2021-12-15,54.23
2021-12-16,59.0
2021-12-17,59.24
2021-12-20,58.71
2021-12-21,58.18
2021-12-22,58.5
2021-12-23,59.53
2021-12-27,60.18
2021-12-28,60.29
2021-12-29,60.62
2021-12-30,61.59
2021-12-31,62.02
2022-01-03,60.98
2022-01-04,60.43
2022-01-05,60.33
2022-01-06,58.67
2022-01-07,59.43
2022-01-10,60.43
2022-01-11,60.91
2022-01-12,61.52
2022-01-13,61.32
2022-01-14,61.22
2022-01-18,61.25
2022-01-19,64.95
2022-01-20,63.84
2022-01-21,63.09
2022-01-29,79.15755890087455
2022-01-30,79.16049326023173
2022-01-31,79.32571403111675
2022-02-01,79.34589047087013
2022-02-02,79.28568065995489
2022-02-03,79.30698621633277
2022-02-04,79.32490894724037
2022-02-05,79.15947223895182
2022-02-06,79.17217095334108
2022-02-07,79.35891988942753
2022-02-08,79.41233964411373
2022-02-09,79.39664929686145
2022-02-10,79.4729219491189
2022-02-11,79.55505445330648
2022-02-12,79.46151398697616
2022-02-13,79.55192472652463
2022-02-14,79.82006380511194
2022-02-15,79.9562041776889
2022-02-16,80.02207230028915
2022-02-17,80.17617487154101
2022-02-18,80.32984397239588
2022-02-19,80.29906110118971
2022-02-20,80.44112110183386
2022-02-21,80.74770288034286
2022-02-22,80.90728227718868
2022-02-23,80.98015284791
2022-02-24,81.1238068103662
2022-02-25,81.24902373055046
2022-02-26,81.17172595994464
